Quantity,Estimate,CI_low,CI_high,Bootstrap_replicates
Tuned AP,0.5516036303213034,0.527128130544389,0.5753046520957756,1000
Tuned ROC-AUC,0.7762052716377542,0.7614361575605246,0.790047684907978,1000
AP difference: tuned - baseline,-0.0027766770282288133,-0.010576637310347132,0.00536033052804555,1000
ROC-AUC difference: tuned - baseline,-0.001087312175590327,-0.004873823408891831,0.0028337826643171716,1000
Cost/1000 difference: tuned r=5 threshold - tuned threshold 0.5,-46.16666666666667,-74.34166666666667,-17.995833333333337,1000
