Quantity,Estimate,CI_low,CI_high,Bootstrap_replicates
Tuned AP,0.49674924303782697,0.471423150317023,0.5246459801787299,1000
Tuned ROC-AUC,0.7106794939132288,0.6923420849398435,0.7264801556053785,1000
AP difference: tuned - baseline,-0.0002488998833457545,-0.0006368176435609024,0.00012100807484094605,1000
ROC-AUC difference: tuned - baseline,-0.00045395384119939486,-0.0008086345084583225,-6.043714061650388e-05,1000
Cost/1000 difference: tuned r=5 threshold - tuned threshold 0.5,-204.66666666666666,-233.67499999999998,-175.4875,1000
