Candidate,Parameters,Mean_CV_AP,SD_CV_AP,Mean_fit_AP,Mean_CV_ROC_AUC,Mean_fit_seconds,Fold_0_AP,Fold_1_AP,Fold_2_AP,Fold_3_AP,Fold_4_AP
0,"{""class_weight"": null, ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",0.536408499179464,0.02020980995957234,0.9999615453956302,0.7660158905935832,3.6806578159332277,0.5607509161916291,0.5298850996433329,0.5515706593939194,0.5305213890938372,0.5093144315746012
1,"{""class_weight"": null, ""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 150}",0.5637456574150971,0.015481428240609798,0.6897830364793249,0.7800449513759732,6.89400806427002,0.5738619983492979,0.5627384921165787,0.5740881342784903,0.5707409783376118,0.5372986839935072
2,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 12, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""min_samples_split"": 2, ""n_estimators"": 150}",0.5594267557671314,0.01726027940752184,0.7996456706035462,0.7799518052815401,5.529266452789306,0.5723457005798014,0.5673709449975354,0.5679760581957889,0.5598205941815422,0.5296204808809888
3,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 8, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",0.5647168733528509,0.013626591492187885,0.6829968317474332,0.7799718845038512,22.22255668640137,0.5730507399512855,0.5680177368920956,0.5721111883763131,0.5698081505733193,0.540596550971241
4,"{""class_weight"": null, ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 150}",0.5605224578209206,0.015619916506729115,0.8415036258715958,0.778695280292646,9.121840810775756,0.5735658452427351,0.561896700686512,0.5686891394614471,0.5647575103338957,0.5337030933800132
5,"{""class_weight"": null, ""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 5, ""n_estimators"": 500}",0.5510349153416209,0.010148552388256495,0.5678462145952532,0.7749552207338185,5.042321681976318,0.5544195309342986,0.5609417249404949,0.5553195049831566,0.5502953893367285,0.5341984265134258
6,"{""class_weight"": null, ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",0.5607320992708875,0.015633721467623884,0.859765788034132,0.7797003383312824,31.67584671974182,0.5720155364256779,0.5612935618338339,0.5726254667323933,0.5634714724420944,0.5342544589204381
7,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 8, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 500}",0.5536312725192849,0.012100767982108922,0.6510445965163217,0.7798568563161818,7.227137327194214,0.5641246511768684,0.5612080138809249,0.5590103735249135,0.5494673705301982,0.5343459534835199
8,"{""class_weight"": null, ""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",0.5592581707920681,0.01504325356621079,0.8586820619275464,0.779466082217485,19.021532678604125,0.569691883234602,0.5594256461781293,0.5711126035127306,0.5622369168530891,0.5338238041817892
9,"{""class_weight"": {""0"": 1, ""1"": 3}, ""max_depth"": 4, ""max_features"": ""log2"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 500}",0.535687663618662,0.009220023866154708,0.552470895759168,0.7724598742949198,4.232547569274902,0.5382158704225001,0.5426981332162399,0.5437735819819819,0.5325234455850404,0.521227286887548
