Quantity,Estimate,CI_low,CI_high,Bootstrap_replicates
Tuned AP,0.5507549511360591,0.5257053726873598,0.5751757976672953,1000
Tuned ROC-AUC,0.7752455180726039,0.7603808922684485,0.790274407840194,1000
AP difference: tuned - baseline,0.019585751449886057,0.007524897692914101,0.03273684577467306,1000
ROC-AUC difference: tuned - baseline,0.02181308680387628,0.013580648004191495,0.030554316746252457,1000
Cost/1000 difference: tuned r=5 threshold - tuned threshold 0.5,-59.0,-85.5,-31.5,1000
