Model,Threshold,N,TN,FP,FN,TP,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,ROC-AUC,AP,Brier,Alert_rate,Cost_1,Cost_1_per_1000,Cost_3,Cost_3_per_1000,Cost_5,Cost_5_per_1000,Cost_10,Cost_10_per_1000
Baseline Decision Tree,0.5,18000,14012,6,0,3982,0.9996666666666667,0.9984954864593781,1.0,0.9992471769134254,0.9995719788842916,0.00042802111570837496,0.0,0.999999668575647,0.9999979845974606,0.00017592592592592595,0.22155555555555556,6,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333
Tuned Decision Tree,0.5,18000,13308,710,2456,1526,0.8241111111111111,0.682468694096601,0.3832245102963335,0.49083306529430687,0.9493508346411756,0.05064916535882437,0.6167754897036665,0.8155284975140308,0.5885187754280249,0.12802844402760982,0.12422222222222222,3166,175.88888888888889,8078,448.77777777777777,12990,721.6666666666666,25270,1403.888888888889
