Model,Threshold,N,TN,FP,FN,TP,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,ROC-AUC,AP,Brier,Alert_rate,Cost_1,Cost_1_per_1000,Cost_3,Cost_3_per_1000,Cost_5,Cost_5_per_1000,Cost_10,Cost_10_per_1000,Partition
Baseline Decision Tree,0.5,18000,14012,6,0,3982,0.9996666666666668,0.998495486459378,1.0,0.9992471769134254,0.9995719788842916,0.0004280211157083,0.0,0.999999668575647,0.9999979845974606,0.0001759259259259,0.2215555555555555,6,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333,"Fit (18,000)"
Tuned Decision Tree,0.5,18000,13308,710,2456,1526,0.8241111111111111,0.682468694096601,0.3832245102963335,0.4908330652943068,0.9493508346411756,0.0506491653588243,0.6167754897036665,0.8155284975140308,0.5885187754280249,0.1280284440276098,0.1242222222222222,3166,175.88888888888889,8078,448.77777777777777,12990,721.6666666666666,25270,1403.888888888889,"Fit (18,000)"
Baseline Decision Tree,0.5,6000,3814,859,768,559,0.7288333333333333,0.3942172073342736,0.4212509419743783,0.4072859744990892,0.8161780440830302,0.1838219559169698,0.5787490580256217,0.6187144930287042,0.2940643699320715,0.2711666666666666,0.2363333333333333,1627,271.1666666666667,3163,527.1666666666666,4699,783.1666666666666,8539,1423.1666666666667,"Validation (6,000)"
Tuned Decision Tree,0.5,6000,4433,240,842,485,0.8196666666666667,0.6689655172413793,0.3654860587792012,0.4727095516569201,0.9486411298951424,0.0513588701048576,0.6345139412207988,0.7664236548815518,0.5317479630265723,0.1384293766709445,0.1208333333333333,1082,180.33333333333331,2766,461.0,4450,741.6666666666666,8660,1443.3333333333333,"Validation (6,000)"
Baseline Decision Tree,0.5,6000,3792,881,791,536,0.7213333333333334,0.3782639378969654,0.4039186134137151,0.39067055393586,0.8114701476567515,0.1885298523432484,0.5960813865862848,0.6075523083028722,0.284267217062282,0.2787268518518518,0.2361666666666666,1672,278.6666666666667,3254,542.3333333333334,4836,806.0,8791,1465.1666666666667,"Test (6,000)"
Tuned Decision Tree,0.5,6000,4427,246,853,474,0.8168333333333333,0.6583333333333333,0.3571966842501884,0.4631167562286272,0.9473571581425207,0.0526428418574791,0.6428033157498116,0.7538451825499175,0.5220918784014116,0.1406681510555937,0.12,1099,183.16666666666663,2805,467.5,4511,751.8333333333334,8776,1462.6666666666667,"Test (6,000)"
