Metric,Value
Accuracy,0.8088333333333333
Precision,0.6923076923076923
Recall,0.24415975885455915
F1-score,0.36100278551532033
ROC-AUC,0.7100908859130948
PR-AUC,0.4950469951876558
False Positives,144.0
False Negatives,1003.0
