Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Specificity,FPR,FNR,TN,FP,FN,TP
Baseline LR,0.5,0.8088333333333333,0.6923076923076923,0.24415975885455915,0.36100278551532033,0.7100908859130948,0.4950469951876558,0.9691846779370854,0.030815322062914617,0.7558402411454408,4529,144,1003,324
Baseline LR + threshold tuning,0.29,0.7925,0.5352233676975945,0.4694800301431801,0.5002007226013649,0.7100908859130948,0.4950469951876558,0.8842285469719666,0.11577145302803338,0.5305199698568199,4132,541,704,623
Tuned LR,0.5,0.681,0.37019018133569215,0.6307460437076111,0.4665551839464883,0.7096093561902451,0.4909889661771908,0.695270704044511,0.304729295955489,0.36925395629238883,3249,1424,490,837
Tuned LR + threshold tuning,0.5800000000000003,0.7896666666666666,0.5281385281385281,0.45968349660889224,0.49153908138597907,0.7096093561902451,0.4909889661771908,0.8833725658035523,0.11662743419644768,0.5403165033911078,4128,545,717,610
