Threshold,Precision,Recall,F1,FP,FN,TP,TN,Avoided_FN_vs_0.5,Extra_FP_vs_0.5,Extra_FP_per_Avoided_FN
0.5,0.7093784078516903,0.2450555660199661,0.3642727145457091,533,4008,1301,18158,0,0,
0.45,0.6817466561762392,0.32642682237709547,0.4414724238950452,809,3576,1733,17882,432,276,0.6388888888888888
0.4,0.6423861852433281,0.3853833113580712,0.48175182481751827,1139,3263,2046,17552,745,606,0.8134228187919463
0.35,0.6123610734616427,0.4255038613674892,0.5021115803511892,1430,3050,2259,17261,958,897,0.9363256784968684
0.3,0.5699885452462772,0.4686381616123564,0.514368410171594,1877,2821,2488,16814,1187,1344,1.1322662173546756
0.25,0.45674687785561985,0.5648898097570164,0.5050947368421053,3567,2310,2999,15124,1698,3034,1.7868080094228505
0.2,0.33215391419725787,0.7072895083819929,0.4520284097748887,7550,1554,3755,11141,2454,7017,2.859413202933985
