Family,Model,Evidence_status,Threshold,Cost_ratio,FP,FN,Cost,Cost_per_1000
XGBoost,Tuned XGBoost / cost ratio 10,Historical frozen experiment,0.2706960439682007,10,2845,143,4275,712.5
XGBoost,Always negative,Historical frozen experiment,1.0,1,0,1327,1327,221.16666666666669
XGBoost,Always negative,Historical frozen experiment,1.0,3,0,1327,3981,663.5
XGBoost,Always negative,Historical frozen experiment,1.0,5,0,1327,6635,1105.8333333333333
XGBoost,Always negative,Historical frozen experiment,1.0,10,0,1327,13270,2211.6666666666665
XGBoost,Always positive,Historical frozen experiment,0.0,1,4673,0,4673,778.8333333333334
XGBoost,Always positive,Historical frozen experiment,0.0,3,4673,0,4673,778.8333333333334
XGBoost,Always positive,Historical frozen experiment,0.0,5,4673,0,4673,778.8333333333334
XGBoost,Always positive,Historical frozen experiment,0.0,10,4673,0,4673,778.8333333333334
Logistic Regression,Baseline LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,1,147,988,1135,189.16666666666669
Logistic Regression,Baseline LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,3,147,988,3111,518.5
Logistic Regression,Baseline LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,5,147,988,5087,847.8333333333334
Logistic Regression,Baseline LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,10,147,988,10027,1671.1666666666667
Logistic Regression,Tuned LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,1,145,991,1136,189.33333333333331
Logistic Regression,Tuned LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,3,145,991,3118,519.6666666666667
Logistic Regression,Tuned LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,5,145,991,5100,850.0
Logistic Regression,Tuned LR supplement,Post-hoc reproducibility supplement after historic test results existed,0.5,10,145,991,10055,1675.8333333333333
Logistic Regression,Tuned LR supplement / cost ratio 1,Post-hoc reproducibility supplement after historic test results existed,0.4453536666170534,1,223,886,1109,184.83333333333331
Logistic Regression,Tuned LR supplement / cost ratio 1,Post-hoc reproducibility supplement after historic test results existed,0.4453536666170534,3,223,886,2881,480.1666666666667
Logistic Regression,Tuned LR supplement / cost ratio 1,Post-hoc reproducibility supplement after historic test results existed,0.4453536666170534,5,223,886,4653,775.5
Logistic Regression,Tuned LR supplement / cost ratio 1,Post-hoc reproducibility supplement after historic test results existed,0.4453536666170534,10,223,886,9083,1513.8333333333333
Logistic Regression,Tuned LR supplement / cost ratio 3,Post-hoc reproducibility supplement after historic test results existed,0.26511536570131244,1,701,649,1350,225.0
Logistic Regression,Tuned LR supplement / cost ratio 3,Post-hoc reproducibility supplement after historic test results existed,0.26511536570131244,3,701,649,2648,441.33333333333337
Logistic Regression,Tuned LR supplement / cost ratio 3,Post-hoc reproducibility supplement after historic test results existed,0.26511536570131244,5,701,649,3946,657.6666666666666
Logistic Regression,Tuned LR supplement / cost ratio 3,Post-hoc reproducibility supplement after historic test results existed,0.26511536570131244,10,701,649,7191,1198.5
Logistic Regression,Tuned LR supplement / cost ratio 5,Post-hoc reproducibility supplement after historic test results existed,0.23431561971886616,1,1177,539,1716,286.0
Logistic Regression,Tuned LR supplement / cost ratio 5,Post-hoc reproducibility supplement after historic test results existed,0.23431561971886616,3,1177,539,2794,465.6666666666667
Logistic Regression,Tuned LR supplement / cost ratio 5,Post-hoc reproducibility supplement after historic test results existed,0.23431561971886616,5,1177,539,3872,645.3333333333333
Logistic Regression,Tuned LR supplement / cost ratio 5,Post-hoc reproducibility supplement after historic test results existed,0.23431561971886616,10,1177,539,6567,1094.5
Logistic Regression,Tuned LR supplement / cost ratio 10,Post-hoc reproducibility supplement after historic test results existed,0.00394068689681157,1,4667,0,4667,777.8333333333334
Logistic Regression,Tuned LR supplement / cost ratio 10,Post-hoc reproducibility supplement after historic test results existed,0.00394068689681157,3,4667,0,4667,777.8333333333334
Logistic Regression,Tuned LR supplement / cost ratio 10,Post-hoc reproducibility supplement after historic test results existed,0.00394068689681157,5,4667,0,4667,777.8333333333334
Logistic Regression,Tuned LR supplement / cost ratio 10,Post-hoc reproducibility supplement after historic test results existed,0.00394068689681157,10,4667,0,4667,777.8333333333334
Logistic Regression,Always negative,Post-hoc reproducibility supplement after historic test results existed,1.0,1,0,1327,1327,221.16666666666669
Logistic Regression,Always negative,Post-hoc reproducibility supplement after historic test results existed,1.0,3,0,1327,3981,663.5
Logistic Regression,Always negative,Post-hoc reproducibility supplement after historic test results existed,1.0,5,0,1327,6635,1105.8333333333333
Logistic Regression,Always negative,Post-hoc reproducibility supplement after historic test results existed,1.0,10,0,1327,13270,2211.6666666666665
Logistic Regression,Always positive,Post-hoc reproducibility supplement after historic test results existed,0.0,1,4673,0,4673,778.8333333333334
Logistic Regression,Always positive,Post-hoc reproducibility supplement after historic test results existed,0.0,3,4673,0,4673,778.8333333333334
Logistic Regression,Always positive,Post-hoc reproducibility supplement after historic test results existed,0.0,5,4673,0,4673,778.8333333333334
Logistic Regression,Always positive,Post-hoc reproducibility supplement after historic test results existed,0.0,10,4673,0,4673,778.8333333333334
